context,urgency,importance,risk,distance_from_human,distance_from_object,speed,comfort,bumping_human,bumping_object,predictability
An idle robot working in a warehouse goes to recharge its battery. It has 8% battery left.,75,90,15,65,25,20,70,40,25,70
An idle robot working in a warehouse goes to recharge its battery. It has 80% battery left.,20,30,5,25,60,25,30,15,20,20
An idle robot working in a warehouse goes to recharge its battery. It has 81% battery left.,15,30,10,65,60,30,20,15,15,35
An idle robot working in a warehouse goes to recharge its battery. It has 82% battery left.,10,40,5,30,60,25,35,20,20,40
An idle robot working in a warehouse goes to recharge its battery. It has 83% battery left.,25,30,0,70,60,25,35,23,5,40
An idle robot working in a warehouse goes to recharge its battery. It has 84% battery left.,15,55,5,85,45,30,20,15,5,15
An idle robot working in a warehouse goes to recharge its battery. It has 85% battery left.,10,20,10,80,75,20,30,15,30,40
An idle robot working in a warehouse goes to recharge its battery. It has 86% battery left.,15,30,5,70,65,45,20,5,5,35
An idle robot working in a warehouse goes to recharge its battery. It has 87% battery left.,20,15,5,25,75,10,30,15,25,35
An idle robot working in a warehouse goes to recharge its battery. It has 88% battery left.,20,35,5,30,15,30,15,10,20,40
An idle robot working in a warehouse goes to recharge its battery. It has 89% battery left.,5,25,5,70,55,15,30,5,20,10
An idle robot working in a warehouse goes to recharge its battery. It has 9% battery left.,93,75,20,75,35,35,20,10,85,70
An idle robot working in a warehouse goes to recharge its battery. It has 90% battery left.,10,40,5,40,80,15,15,10,15,20
An idle robot working in a warehouse goes to recharge its battery. It has 91% battery left.,5,40,5,85,70,30,15,20,5,65
An idle robot working in a warehouse goes to recharge its battery. It has 92% battery left.,5,30,5,70,20,20,15,5,15,65
An idle robot working in a warehouse goes to recharge its battery. It has 93% battery left.,15,24,5,60,80,20,10,20,10,40
An idle robot working in a warehouse goes to recharge its battery. It has 94% battery left.,10,30,5,70,80,35,25,5,30,45
An office assistant robot keeps track of who is in the office today.,40,75,20,30,60,40,70,20,20,60
The robot is trying to locate the glasses of a patient in a hospital.,70,75,15,35,65,60,85,20,35,70
